question,A,B,C,D,correct_answer,category,type
Performance-based navigation (PBN).,"Area navigation based on performance requirements for aircraft operating along an ATS route, on an instrument approach procedure or in a designated airspace.",Area navigation based on performance requirements for aircraft operating along an ATS route.,Area navigation based on performance requirements for aircraft operating in a designated airspace.,Area navigation based on performance requirements for aircraft operating on an instrument approach procedure.,A,,LTC_APP
Pressure-altitude: An atmospheric pressure expressed in terms of …which corresponds to that pressure in the Standard Atmosphere.,Flight level.,Altitude.,Height.,Airspace.,B,,LTC_APP
Radio navigation service: A service providing …or position data for the efficient and safe operation of aircraft supported by one or more radio navigation aids.,Weather information.,ATIS  information.,Guidance information.,Departure information.,C,,LTC_APP
Touchdown is the point where the nominal glide path intercepts...,The outer marker.,The localizer.,The final course.,The runway.,D,,LTC_APP
ILS reference datum :A point at a specified height located above the intersection of the runway centre line and the threshold and through which …extended straight portion of the ILS glide path passes.,The downward.,The upward.,1 and 2.,1 or 2.,A,,LTC_APP
The localizer shall operate in the band,108 MHz to 111.475 MHz.,108 MHz to 111.975 MHz.,108 MHz to 111.775 MHz.,108 MHz to 111.575 MHz.,B,,LTC_APP
The precision approach radar system shall comprise the following:,The precision approach radar element (PAR).,The surveillance radar element (SRE).,1 and 2.,1 or 2.,C,,LTC_APP
The radio frequencies assigned to NDBs shall be selected from those available in that portion of the spectrum,Between 190 kHz and 1 450 kHz.,Between 190 kHz and 1 550 kHz.,Between 190 kHz and 1 650 kHz.,Between 190 kHz and 1 750 kHz.,D,,LTC_APP
The DME system shall provide for continuous and accurate indication in the cockpit of the …of an equipped aircraft from an equipped ground reference point.,Slant range distance.,Vertical distance.,1 or 2.,1 and 2.,A,,LTC_APP
The DME system shall comprise:,one component fitted in the aircraft,one component installed on the ground.,1 or 2.,1 and 2.,D,,LTC_APP
The aircraft component of DME system shall be referred to as :,The interrogator.,The transponder.,The receiver.,The transmitter.,A,,LTC_APP
The ground component of DME system shall be referred to as:,The interrogator.,The transponder.,The receiver.,The transmitter.,B,,LTC_APP
"DME system, the aircraft handling capacity of transponders in an area shall be adequate for the area of…, whichever is the lesser.",200 aircraft.,150 aircraft.,100 aircraft.,50 aircraft.,C,,LTC_APP
Air-ground communication:,One-way communication between aircraft and stations or locations on the surface of the earth.,Two-way communication between aircraft and stations or locations on the surface of the earth.,1 or 2.,1 and 2.,B,,LTC_APP
Ground to-air communication:,One-way communication from stations or locations on the surface of the earth to aircraft.,Two-way communication from stations or locations on the surface of the earth to aircraft.,1 or 2.,1 and 2.,A,,LTC_APP
Controller-pilot data link communications (CPDLC).,"A means of communication between controllers, using data link for ATC communications.","A means of communication between controller and pilot, using data link for ATC communications.","A means of communication between pilots, using data link for ATC communications.",None of the above.,B,,LTC_APP
Air-report:,A report from an aircraft in flight.,A report from an aircraft on ground.,A report from an aircraft in the air.,A report from an aircraft in hangar.,A,,LTC_APP
Distress messages (priority indicator SS).,This message category shall comprise those messages sent by mobile stations reporting that they are threatened by grave and imminent danger.,This message category shall comprise those messages sent by mobile stations reporting that they are in danger.,This message category shall comprise those messages sent by ATC unit reporting that they are in danger.,This message category shall comprise those messages sent by area control centre reporting that they are in danger.,A,,LTC_APP
Urgency messages (priority indicator DD).,"This category shall comprise messages concerning the safety of a ship, aircraft or other vehicles, or of some person on board or within sight.",This category shall comprise messages concerning the safety of a ship.,This category shall comprise messages concerning the safety of an aircraft.,This category shall comprise messages concerning the safety of some person on board.,A,,LTC_APP
An IFR flight may be cleared to execute a visual approach provided the pilot can maintain visual reference to the terrain and the reported ceiling is…………..the level of the beginning of the initial approach segment for the aircraft so cleared; or the pilot reports at the level of the beginning of the………..or at any time during the instrument approach procedure that the meteorological conditions are such that with reasonable assurance a visual approach and landing can be completed.,Below…………final approach segment.,At or above…….initial approach segment.,Upper………..missed approach procedure,Below……………intermediate approach segment.,B,,LTC_APP
Vertical separation if other known traffic behind aircraft dumping fuel within 15 minutes flying time or a distance of 93km (50NM) by at least 300m (1000ft) if above the aircraft dumping fuel; and,At least 600m (2000ft) if below the aircraft dumping fuel.,At least 300m (1000ft) if below the aircraft dumping fuel.,At least 900m (3000ft) if below the aircraft dumping fuel.,At least 1200m (4000ft) if below the aircraft dumping fuel.,C,,LTC_APP
The final vector shall enable the aircraft to be established in level flight on the final approach track prior to intercepting the specified or norminal glide path if an ILS or radar approach is to be made and should provide an intercept angle with the final approach track of ……………..,30 degrees or less,45  degrees or less,25  degrees or less,Non of above,B,,LTC_APP
The pilot of an aircraft experiencing two-way radio communication failure set his transponder to code:,A/3 7400,A/3 7500,A/3 7600,A/3 7700,C,,LTC_APP
Red pyrotechnic directed by tower to an aircraft in flight means:,Return for landing,"Not withstanding any previous instruction, do not land for the time being",Give way to other aircraft and continue circling,Clearance to and taxi will be given in due course.,B,,LTC_APP
"In the event of a delay of …..minutes in excess of the estimated off-block time for a controlled flight or delay of …minutes for an uncontrolled  flight for which a flight plan has been submitted ,  the flight plan should be amended or a new flight plan submitted and the old flight plan cancelled , whichever is applicable :","30,30","30,60","60,30","60,60",B,,LTC_APP
Airplane A with an air traffic clearance is flying in VFR condition within a controlled area . Airplane B with no air traffic  clearance is approaching at approximately the same altitude and on converging course . Which has the right – of-way ?,Airplane A regardless of the direction from which airplane B is approaching .,Airplane B regardless if the direction from which airplane A is approaching .,Airplane A if it has airplane B on its right.,Airplane B if it has airplane A on its left.,D,,LTC_APP
"A pilot who estimated an arrival time of 0750 over the facility serving his destination , was estimated over the facility at 0744 by the center . Earlier he was given an expected approach time at 0747 which he acknowledged, but when cleared for an approach at 0745 no reply was received and contact with him cannot be re-established  To minimize the possibility of collision with the unreported aircraft , until what time other traffic will be restricted ?",814,0820,0815,817,B,,LTC_APP
"If a pilot who has experienced two-way radio failure during an IFR flight proceeds according to his latest clearance , which was the navigational aid serving his destination airport , where should he commence his descent for landing ?",When he is 80 miles from the airport,When he enters the TMA,When he is over the airport,From the navigational aid serving his destination,D,,LTC_APP
The range of primary radar depends on:,"Transmitted power , altitude and level of aircraft","Size , level and material of aircraft","Transmitted power , target size , altitude and material of aircraft","Transmitted power , altitude and material of aircraft",C,,LTC_APP
All current civil SSR systems use :,The same frequencies i.e. 1030MHz for the ground to air transmission and 1090MHz for the air to ground transmission.,The same frequencies i.e. 1090MHz for the ground to air transmission and 1030MHz for the air to ground transmission.,The same frequency i.e. 1030MHz for transmissions on both directions .,,A,,LTC_APP
If an identified aircraft is approaching heading on the controlled aircraft what action should be taken by the radar controller?,Immediately turn the controlled aircraft to the right,Descend the controlled aircraft to fly below the unidentified aircraft,When the aircraft is 5 miles apart turn the controlled aircraft to the right,Immediately climb the controlled aircraft,A,,LTC_APP
"C An aircraft which is intercepted, by another aircraft shall immediately, if equipped with a SSR transponder",Select Mode A code 7000,Select Mode A code 7500,Select Mode A code 7600,Select Mode A code 7700,D,,LTC_APP
How is Flight Visibility defined?,The visibility reported by a pilot currently flying in the vicinity,The measured visibility assessed by a certified meteorological observer,The visibility forward from the flight deck of an aeroplane in flight,The forecast visibility at 3000 ft above the aerodrome,C,,LTC_APP
An aircraft is considered to overtake another if it approaches the other aircraft from the rear on a line forming an angle of less than:,60 degrees with the plane of symmetry of the latter,50 degrees with the plane of symmetry of the latter,80 degrees with the plane of symmetry of the latter,70 degrees with the plane of symmetry of the latter,D,,LTC_APP
Your aircraft is intercepted by a military aircraft. The signals given by this aircraft conflict with ATC instructions. You should:,follow ATC instructions,select code A7500 on your transponder,follow the instructions of the intercepting aircraft,request ATC for other instructions,C,,LTC_APP
Pilots should notify air traffic control a revised estimated time if the reported  estimate for the reporting point is found to be in error in excess of:,±5 minutes,±4 minutes,±3 minutes,±2 minutes,C,,LTC_APP
What action should a pilot take to overtake another aircraft :,He should alter his course to pass the other’s right,He should alter his course to pass the other’s left,He should climb to pass above the other aircraft,He should decent to pass under the other aircraft .,A,,LTC_APP
"An aircraft flying above the sea between 4,500ft MSL and 9000ft MSL outside controlled airspace under VFR , must remain on principle at least :",Clear of clouds and sight of surface ; 8km visibility,"2000ft horizontally , 1000ft vertically from clouds ; 5 km visibility","1500m  horizontally , 1000ft vertically from clouds ; 5 km visibility","1500m horizontally , 1000ft vertically from clouds ;8 km visibility",C,,LTC_APP
What are the international aviation urgency signals?,SOS,MAYDAY,PANPAN,All the above,C,,LTC_APP
What are the international aviation distress signals?,SOS,MAYDAY,PANPAN,All the above,B,,LTC_APP
Pilots should notify air traffic control if  the variation in true aispeed at criusing level between the reporting point vary by:,±5%,±4%,±3%,±2 %,A,,LTC_APP
"Except when neccesary for take off  or landing, or except by permission  from the appropriate authority, VFR flight shall not be flown:",at a height less than 600m above the highest obstacle within a radius of  900m from the aircraft,at a height less than 300m above the highest obstacle within a radius of  600m from the aircraft,at a height less than 300m above the highest obstacle within a radius of  900m from the aircraft,,B,,LTC_APP
The pilot of the jet aircraft wish to reach the destination with the minimum use of fuel. They should fly at:,Maximum range cruise speed,Best landing speed,Long range cruise speed,Minimum power speed,A,,LTC_APP
What will be the influence of the aeroplane performance if aerodrome pressure altitude is increased?,It will increase the take-off distance,It will decrease the take-off distance,It will increase the take-off distance available,,A,,LTC_APP
An aircraft with 180 minutes ETOPS approval must be:,"no more than 180 minutes from a suitable alternate, still air at the one engine inoperative TAS","no more than 60 minutes from a suitable alternate, in the prevailing conditions and using the one engine inoperative TAS","no more than 90 minutes from a suitable alternate, in the prevailing conditions and using the one engine inoperative TAS",,A,,LTC_APP
"With increasing altitude, the rate of climb will:",decreases because power available increases and  power required increases,increases because power available decreases and  power required increases,decreases because power available decreases and  power required increases,,C,,LTC_APP
"If the aircraft mass increases, how does the rate of climb:",increases,decreases,remains constant,,B,,LTC_APP
A headwind will:,increase the climb flight path angle,decrease the climb flight path angle,no effect the angle of climb,,A,,LTC_APP
The speed at which sound is transported through the air is dependant on:,Density,Pressure,Density and Temperature,Temperature,D,,LTC_APP
"In a standard  atmosphere and at the sea level, the calibrated airspeed (CAS) is:",higher than the true airspeed (TAS),independent of the true airspeed (TAS),equal to the true airspeed (TAS),lower than the true airspeed (TAS),C,,LTC_APP
An airspeed indicator displays:,IAS,EAS,CAS,TAS,A,,LTC_APP
"On board an aircraft, the altitude is measured from the:",pressure altitude,standard altitude,temperature altitude,density altitude,A,,LTC_APP
Minimum flight altitude ensures( according to Viet Nam rules of the air):,At least 300m(1000ft) above MSL.,At least 300m(1000ft) above terrain.,"At least 300m(1000ft) above highest obstacle in plain area, 600m(2000ft) above highest obstacle in mountain area.",Non of the above.,C,,LTC_APP
"When aircraft operating within controlled airspace needs to dump fuel, the flight crew shall advise ATC. The ATC unit should then coordinate with the flight crew the following: the rout to be flown, which, if possible, should be clear of cities and towns, preferably over water and away from areas where thunderstorms have been reported or are expected; The duration of the fuel dumping;The level to be used, which should be not less than……….",1800m(6000ft).,1500m(5000ft),1200m(4000ft).,900m(3000ft).,A,,LTC_APP
The MSA provides obstacle clearance in a circle with a radius of:,15NM.,20NM.,25NM,30NM,C,,LTC_APP
"Except for aircraft in a state of emergency, or during communication failure or unlawful interference situations, and unless otherwise agreed by regional air navigation agreement or between a transferring and an accepting ATC unit, the transferring unit shall assign:",Code 2000 to a controlled flight prior to transfer of communications.,Code 2000 to a controlled flight prior to terminate the radar service.,Code 2000 to a controlled flight prior to accept the control.,Multiple code to a controlled flight prior to transfer of communications.,A,,LTC_APP
Other known traffic should be separated from the aircraft dumping fuel by:,"At least 19km(10NM) horizontally, but not behind the aircraft dumping fuel.",Vertical separation if behind the aircraft dumping fuel within 10 minutes flying time or a distance of 93km(50NM)….,"At least 19km(10NM) horizontally, but not front of the aircraft dumping fuel.","At least 37km(20NM) horizontally, but not behind the aircraft dumping fuel.",A,,LTC_APP
The flight crew shall read back to the Air Trafic Controller safety-related parts of ATC clearances and instructions which are transmitted by voice. The following iterms shall always be read back:,"ATC route clearances; clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway;","And Runway-in-use, altimeter settings, SSR codes, level instructions, heading and speed instructions and, whether issued by the controller or contained in automatic terminal information service(ATIS) broadcasts, transition levels;","clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway, and Runway-in-use, altimeter settings, SSR codes, level instructions, heading and speed instructions and, whether issued by the controller or contained in automatic terminal information service(ATIS) broadcasts, transition levels;",1 and 2,D,,LTC_APP
"To determine effect of wake turbulence, aircraft are grouped into the following categories:","CAT I, CAT II, CAT III;","SMALL, MEDIUM, LARGE;","LIGHT, MEDIUM, HEAVY;","CAT A, CAT B, CAT C.",C,,LTC_APP
"If an arriving aircraft is making a complete instrument approach, a departing aircraft may take off in any direction until:",The arriving aircraft has started its procedure turn or base turn leading to final approach.,The arriving aircraft has commenced initial approach.,The arriving aircraft has entered ILS glide path.,The pilot of the arriving aircraft has observed the departing aircraft.,A,,LTC_APP
The controller shall…………. To ascertain that the clearance or instruction has been correctly acknowledge by flight crew and shall take immediately action to correct any discrepancies revealed by the…..,Observe…….listen,Readback………listen.,Listen……….readback.,Readback……readback.,C,,LTC_APP
