question,A,B,C,D,correct_answer,category,type
Classification of CRA APP (TMA),A.,B.,C,D.,C,,LTC_LTCS
"Minimum sector altitudes or terminal arrival altitudes are established for each aerodrome and provide at least …... (ICAO PANS-OPS/1 - Section 5, Chapter 2","600m (2000 ft) obstacle clearance within 46 km (25 NM) of the navigation aid, initial approach fix, or intermediate fix associated with the approach procedure for that aerodrome.","300m (1000 ft) obstacle clearance within 56 km (30 NM) of the navigation aid, initial approach fix, or intermediate fix associated with the approach procedure for that aerodrome.","300m (1000 ft) obstacle clearance within 46 km (25Nm) of the navigation aid, initial approach fix, or intermediate fix associated with the approach procedure for that aerodrome.","600m (2000 ft) obstacle clearance within 56 km (30 NM) of the navigation aid, initial approach fix, or intermediate fix associated with the approach procedure for that aerodrome.",C,,LTC_LTCS
"Aircraft departure runway 02L/R follow THAKA1A at Cam Ranh Airport, the minimum PDG until reaching FL140:",0.08,0.07,0.055,0.06,B,,LTC_LTCS
"Aircraft departure runway 02L/R follow NIHOA1A at Cam Ranh Airport, the minimum PDG until reaching 2450m:",0.08,0.07,0.055,0.06,D,,LTC_LTCS
"Aircraft departure runway 02L/R follow PANLU1A at Cam Ranh Airport, the minimum PDG until reaching 2750m:",0.08,0.07,0.055,0.06,D,,LTC_LTCS
"Aircraft departure runway 20L/R follow NIHOA1B at Cam Ranh Airport, the minimum PDG until reaching FL120:",0.055,0.06,0.07,0.08,A,,LTC_LTCS
"Aircraft departure runway 20L/R follow KOPOM1A at Cam Ranh Airport, the minimum PDG until reaching 2750m:",0.08,0.06,0.07,0.055,D,,LTC_LTCS
"Aircraft departure runway 20L/R follow ANKIN1B at Cam Ranh Airport, the minimum PDG until reaching FL140:",0.055,0.06,0.07,0.08,A,,LTC_LTCS
"Aircraft departure runway 20L/R follow BANKE1B at Cam Ranh Airport, the minimum PDG until reaching FL140:",0.055,0.06,0.07,0.08,A,,LTC_LTCS
"Aircraft departure runway 20L/R follow SOTEN1B at Cam Ranh Airport, the minimum PDG until reaching FL120:",0.07,0.08,0.055,0.06,C,,LTC_LTCS
Vertical restriction at CR402,+2750m.,2800m,2900m,3000m,A,,LTC_LTCS
Vertical restriction at CR404,+FL130,+FL110,+FL 140,+FL150,C,,LTC_LTCS
Vertical restriction at CR405,+FL130,+FL 120,+FL140,+FL150,B,,LTC_LTCS
Vertical restriction at CR406,+FL130,+FL 120,+FL140,+FL150,B,,LTC_LTCS
Vertical restriction at CR301,-2150M,-3000m,-2500m,-2000m,A,,LTC_LTCS
Vertical restriction at CR303,-2750M,-2000M,+2750m,+3000M,C,,LTC_LTCS
Vertical restriction at FURAL when using SID FURAL1A,-2150m,-2450M,+2750m,-2000m,B,,LTC_LTCS
The Runway in use is selected by,Controller,Pilot,Airport Authority,,A,,LTC_LTCS
Vertical separation value at Cam Ranh is,100m,200m,300m,400m,C,,LTC_LTCS
"The controller can clear the aircraft ""fly direct” if:",If the altitude of the aircraft is greater than the safe altitude regulated for that area,If the altitude of the aircraft is lower than the safe altitude regulated for that area.,Depending on the requirement of pilots.,,A,,LTC_LTCS
"The controller can use the phrase "" via flight-planned route” if:",Routes intended unchanged compared to routes indicated in the flight plan,Routes intended changed compared to routes indicated in flight plan.,Routes that pilot reported.,,A,,LTC_LTCS
Description of class C airspace based on classification of airspace,"IFR and VFR flights are permitted, all flights are provided with air traffic control service and IFR flights are separated from other IFR flights and from VFR flights. VFR flights are separated from IFR flights and receive traffic information in respect of other VFR flights","IFR flights only are permitted, all flights are provided with air traffic control service and are separated from each other.","IFR and VFR flights are permitted, all participating IFR flights receive an air traffic advisory service and all flights receive flight information service if requested.","IFR and VFR flights are permitted, IFR flights are provided with air traffic control service and are separated from other IFR flights. All flights receive traffic information as far as is practical. Class E shall not be used for control zones.",A,,LTC_LTCS
MVA stands for?,Minimum Vectoring Altitude.,Minimum Vectoring Attitude,Maximum Vectoring Attitude,Maximum Vectoring Altitude,A,,LTC_LTCS
Acronym of STAR?,Secondary Terminal Arrival,Standard Telephony Arrival,Standard Terminal Assistant,Standard Terminal Arrival,D,,LTC_LTCS
Acronym of SID?,Standard Instruction Departure Route,Standard Instrument Departure Route,Standard Non-instrument Departure Route,Secondary Instrument Departure Route,B,,LTC_LTCS
Which is Aerodrome catefory for fire fighting at Cam Ranh airport?,CAT 7,CAT 8,CAT 6,CAT9 (No foaming),D,,LTC_LTCS
Required navigation performance(RNP):,A stage of an approach.,A stage during taking-off.,A statement of the navigation performance necessary for operation within a defined airspace,a segment of visual approach.,C,,LTC_LTCS
Speed adjustments may not be requested or applied after the aircraft has passed a point of…………… from the threshold on final approach:,3 NM,4NM,5 NM,8 NM,B,,LTC_LTCS
Cam Ranh airport operates at,Day time,On request,24/24,,C,,LTC_LTCS
Classification of CAM RANH TWR's airspace,A,B,C,D,D,,LTC_LTCS
Classification of CAM RANH APP's airspace,A,B,C,D,C,,LTC_LTCS
what's the definition of AMA?,Airspace minimum altitude,Area maximum altitude,Area minimum attitude,Area minimum altitude,D,,LTC_LTCS
Area minimum altitude (AMA) represents the lowest altitude in:,Each 1 degree longitude,Each 1 degree quadrilateral,Each 1 degree trilateral,Each 1 degree latitude,B,,LTC_LTCS
RESA means:,Runway END Safety Area.,Runway End Safe Area,Runway Ending Safety Area,,A,,LTC_LTCS
Vertical minimum separation value between civil flight and military filght in Cam Ranh is:,150m,300m,600m,300ft,B,,LTC_LTCS
ID of ILS/GP-DME and ILS/LOC runway 20L,ACC.,ACI.,ICA,CIA.,C,,LTC_LTCS
ID of ILS/GP-DME and ILS/LOC runway 02L,ICR,ACC.,CRC.,CTC.,A,,LTC_LTCS
ID of ILS/GP-DME and ILS/LOC runway 02R,ACI.,ICX,ACC.,IIR.,B,,LTC_LTCS
The frequency of ILS/LOC runway 20L,110.3MHz,115.0Mhz,117.0Mhz,,A,,LTC_LTCS
The frequency of ILS/LOC runway 02R,112.0Mhz,111.9MHz,113.0Mhz,,B,,LTC_LTCS
The frequency of ILS/LOC runway 02L,113.0Mhz,112.0Mhz,110.7mhz,,C,,LTC_LTCS
The frequency of ILS/GP-DME runway 20L,335.0Mhz Ch40X,336.0Mhz CH40X,337.0Mhz CH40X,,A,,LTC_LTCS
The frequency of ILS/GP-DME runway 02R,336.0Mhz CH56X,331.1MHz CH56X,337.0Mhz CH56X,,B,,LTC_LTCS
The frequency of ILS/GP-DME runway 02L,337.0Mhz CH44X,336.0Mhz CH44X,330.2Mhz Ch44X,,C,,LTC_LTCS
The frequency of CRA,Frequency: 115.6MHz ; CH112X,Frequency: 414.5MHz ; CH112X,Frequency: 116.5MHz ; CH112X;,Frequency: 116.5MHz ; CH110X,C,,LTC_LTCS
The frequency of CR,400 KHz,414 KHz.,313 KHz,313 KHz,B,,LTC_LTCS
The operating time of CR NDB,12/24h,24/24h,At day time,At day time from sunset to sunrise,B,,LTC_LTCS
The operating time of DVOR/DME CRA:,2017-12-24 00:00:00,At day time,At day time from sunset to sunrise,24/24h,D,,LTC_LTCS
The operating time of ILS  CRA:,12/24h,At day time,24/24h,At day time from sunset to sunrise,C,,LTC_LTCS
AFTN stands for:,Aeronautical Fixed Telecommunication Network,Aeronautical Fixed Telephony  Network.,Aeronautical Fixed Telecommunication Navigation.,Aviation  Fixed Telecommunication Network.,A,,LTC_LTCS
What is the correct AFTN address of Cam Ranh Tower?,VVCRZTZX,VVCRYDYX,VVCRZDZX,VVCRZPZX,A,,LTC_LTCS
What is the correct AFTN address of Cam Ranh APP?,VVCRZAZX.,VVCRZTZX,VVCRZRZX,VVCRYDYX,A,,LTC_LTCS
The wing bar of a PAPI shall be constructed and arranged in such a manner that a pilot making an approach  and being on the app slope will see:,All 4 units as red,2 units nearest to the RWY as red and 2 units farther from the RWY as white,1 unit nearest to the RWY as red and 3 units farthest from the RWY as white and when further above the app slope see all 4 units as white ( ICAO annex 14 chapter 5.3.5 ),2 units nearest to the RWY as white and 2 units farther from the RWY as red,D,,LTC_LTCS
The decision height of ILS system at Cam Ranh airport:,Less than 200ft but Not less than 100 ft.,Less than 100ft.,Not less than 200ft,No DH.,C,,LTC_LTCS
The ILS category at Cam Ranh:,CAT I,CAT II,CAT III A,CAT III B,A,,LTC_LTCS
what colour is the STOPBAR?,red,blue,white,green,A,,LTC_LTCS
The primary frequency of Cam Ranh APP:,134.05,127.9,118.2,121.5,B,,LTC_LTCS
Standby frequency of Cam Ranh APP:,124.35,118.2,120.1,120.7,A,,LTC_LTCS
What is the correct AFTN address of Cam Ranh APP?,VVCRZAZX.,VVCRZTZX,VVCRZRZX,,A,,LTC_LTCS
What is the correct AFTN address of Cam Ranh TWR?,VVCRZTZX.,VVCRZRZX,VVCRZGZX,,A,,LTC_LTCS
The colors of light gun are:,"blue, yellow, red","green, yellow, red","blue, red, white","green, red, white",D,,LTC_LTCS
The emergency frequency of Cam Ranh APP:,121.5,124.35,127.9,,A,,LTC_LTCS
The emergency frequency of Cam Ranh TWR:,118.2,120.1,121.5,,C,,LTC_LTCS
Recording tapes of air ground communication shall be normally kept for at least,10days,15days,20days,30 day.,D,,LTC_LTCS
Air traffic services unit clocks and other time recording devices shall be checked as necessary to ensure correct time to within plus or minus……………of UTC at all times::,10seconds,20seconds,30seconds,1minute,C,,LTC_LTCS
How long should NOTAM remain in force?,six months,one month,one year,not more than three months.,D,,LTC_LTCS
Which of the following statements is likely true a METAR?,An  aviation  weather  report,An  aerodrome  warning.,An  AIRMET  information.,An aviation weather  forecast.,A,,LTC_LTCS
Where is a post flight report form available?,ATS unit,Aerodrome  AIS unit,CAA office,AIS headquarter,B,,LTC_LTCS
"The wing bar of a PAPI shall be constructed and arranged in such a manner that, a pilot making an approach and being above the approach slope will see?",All 4 units as red,1 unit nearest to the RWY as red and 3 units farthest from the RWY as white and when further above the approach slope see all 4 units as white.,All 4units as white,2 units nearest to the RWY as white and 2 units farthest from the RWY as red,B,,LTC_LTCS
VASIS is one of the landing aids that we have in our airport. When an aircraft flies on the correct slope what color does the pilot see when descending?,Intermittent RED and WHITE,RED color only,Intermittent BLUE and WHITE,WHITE color only,A,,LTC_LTCS
The color of runway stop bar is:,red,blue,white,,A,,LTC_LTCS
ADS-B stands for:,Automatic-Dependent - Surveillance-Broadcast,Automatic - Dependent - System - Broadcast,Automatic - Departure - Surveillance - Broadcast,Automatic - Dependent - Service - Broadcast,A,,LTC_LTCS
"If an aircraft equiped ADS-B, in field 10b of flight plan which letter should be filled?",B1 or B2,"E,I","H,E","I,L",A,,LTC_LTCS
What does AMHS stand for?,Aeronautical message handling system,Aviation Messenger Handling system,Aeronautical Meeting Handling system,Both are wrong,A,,LTC_LTCS
The operating time of ILS aids:,24/24,12/24,6/24,,A,,LTC_LTCS
The secondary frequency of CRA TWR,118.5,124.35,115,,B,,LTC_LTCS
What is AIM,Aerodrome infomation Management,Aeronautical Infomation Management.,Aeronautical Infomation Manager.,Aeronautical Infom Management,B,,LTC_LTCS
Office responsible for TAF preparation,TSN Aerodrome Meteorological Center,Da Nang Aerodrome Meteorological Center,Noi BaiAerodrome Meteorological Center,,A,,LTC_LTCS
Periods of validity of TAF,"24 Hr (Updated every 6 hours with effect at 0000, 0600, 1200, 1800; issued not earlier than 1 hour and not later than 30 minutes prior to the beginning of TAF message validity period)","24 HR (Updated every 6 hours with effect at 0000, 0900, 1500, 2500; issued not earlier than 1 hour and not later than 30 minutes prior to the beginning of TAF message validity period)","48 HR (Updated every 6 hours with effect at 0000, 0600, 1200, 1800; issued not earlier than 1 hour and not later than 30 minutes prior to the beginning of TAF message validity period)","24 HR (Updated every 12 hours with effect at 0000, 1200; issued not earlier than 1 hour and not later than 30 minutes prior to the beginning of TAF message validity period)",A,,LTC_LTCS
ATFM VVCR level currently :,level 1 ATFM nodes,level 2 ATFM nodes,level 3 ATFM nodes,,C,,LTC_LTCS
The Frequency of DATIS APP/TWR CRA,124.35,132.35,126.45,126.425,D,,LTC_LTCS
Mimimum holding altitude at CR021,1500m,1600m,1700m,1800m,A,,LTC_LTCS
Mimimum holding altitude at CR201,1500m,1600m,1700m,1800m,A,,LTC_LTCS
Mimimum holding altitude at CR202,1100m,1200m,1300m,1400m,B,,LTC_LTCS
Mimimum holding altitude at CR209,1000m,1200m,1850m,2000m,C,,LTC_LTCS
Turn direction in holding procedure at CR021,LEFT,RIGHT,,,A,,LTC_LTCS
Turn direction in holding procedure at CR201,RIGHT,LEFT,,,A,,LTC_LTCS
Turn direction in holding procedure at CR202,RIGHT,LEFT,,,B,,LTC_LTCS
Mimimum holding altitude at BANKE in RNP STAR RWY 02L/R,FL100,FL120,FL110.,FL130,C,,LTC_LTCS
Mimimum holding altitude at SIMME in RNP STAR RWY 02L/R,FL120,FL 100,FL 110,FL 130,A,,LTC_LTCS
Mimimum holding altitude at LIGUN in RNP STAR RWY 20R/L,FL110,FL100.,FL120,FL130,B,,LTC_LTCS
Mimimum holding altitude at CHUTU in RNP STAR RWY 20R,FL100,FL120,FL130,FL 110,D,,LTC_LTCS
STAR connect from W15 to CR021,BANKE 1A,BANKE1B,BANKE1C,,A,,LTC_LTCS
STAR connect from COTUN to CR021,COTUN2B,COTUN3B,COTUN 2A,,C,,LTC_LTCS
STAR connect from ANKIN to CR021,ANKIN 2A,ANKIN1A,ANKIN 2B,,B,,LTC_LTCS
STAR connect from HUNTA to CR021,HUNTA1A,HUNTA3A,HUNTA 2A,,C,,LTC_LTCS
STAR connect from HUNTA to CR201,HUNTA 2B,HUNTA2A,HUNTA3B,,A,,LTC_LTCS
STAR connect from COTUN to CR202,COTUN 1B,COTUN3B,COTUN 2B,,B,,LTC_LTCS
Turn direction in holding procedure at CR201,RIGHT.,LEFT,,,A,,LTC_LTCS
Turn direction in holding procedure at CR202,RIGHT,LEFT,,,B,,LTC_LTCS
the altitude of IF CR822 of ILS Z 02R ?,1500M,795m,1200M,1800M,B,,LTC_LTCS
the altitude of IF CR293 of ILS Y R20L ?,950m,1200M,1500M,1850M,A,,LTC_LTCS
Mimimum holding altitude at CR220,1600m,1800m,1700m,1200m,D,,LTC_LTCS
Turn direction in holding procedure at CR209,RIGHT,LEFT,,,B,,LTC_LTCS
Mimimum holding altitude at CR223,1200m,1600m,1700m,1800m,A,,LTC_LTCS
What concerned unit does Cam Ranh TWR have to coordinate before providing ILS Y approach clearance for landing Runway 02L/R?,Cam Ranh airport authority unit,Representative officer of Phan Rang military airport,Representative officer of Nha Trang military airport,,B,,LTC_LTCS
Which following aircraft is provided air traffic service by Cam Ranh APP?,Military training aircraft,Military mission aircraft,Military transportation aircraft,,C,,LTC_LTCS
Distance based wake turbulence seperation minima between preceeding medium aircraft and succeeding light aircraft provided with an ATS surveillance:,5.0NM,7.0NM,8.0NM,,A,,LTC_LTCS
Distance based wake turbulence seperation minima between aircraft provided with an ATS surveillance in circumstance: light aircraft behind heavy aircraft,5.0NM,6.0NM,7.0NM,,B,,LTC_LTCS
"If departing flight delayed more than 30 minutes due to air traffic , what unit does Cam Ranh TWR have to inform firstly?",ACC HCM,Cam Ranh Air traffic service Reporting Office,Cam Ranh Airport Authority Unit,Flight’s Operation Unit.,D,,LTC_LTCS
Which following departure sequence is correct?,A military training aircraft will be priority than a commercial aircraft.,A commercial aircraft will be priority than a hospital aircraft.,A commercial aircraft will be priority than a military training aircraft.,,C,,LTC_LTCS
Which following departure sequence is correct?,A military mission aircraft will be priority than a commercial aircraft.,A military training aircraft will be priority than a military mission aircraft.,A commercial aircraft will be priority than a military mission aircraft.,,A,,LTC_LTCS
Which following departure sequence is correct?,VIP flight  -Hospital flight - Training flight,Training flight - Hospital flight - VIP flight,Hospital flight - Commercial flight -Training flight,,C,,LTC_LTCS
Which following arrival sequence is correct?,Hospital flight - Shortage of fuel flight - Commercial flight,Shortage of fuel flight - Commercial flight - Hospital flight,Shortage of fuel flight - Hospital flight – Commercial flight,,C,,LTC_LTCS
Which following arrival sequence is correct?,Training flight  - VIP flight -Hospital flight – Commercial flight,Hospital flight – Commercial flight – VIP flight - Training flight,Hospital flight – VIP flight – Commercial flight – Training flight,VIP flight – Commercial flight – Hospital flight – Training flight,C,,LTC_LTCS
Cam Ranh airport will be an alternate aerodrome for:,Aviation flight,Military transportation flight,Both 1 and 2.,,C,,LTC_LTCS
Distance based wake turbulence seperation minima between aircraft provided with an ATS surveillance in circumstance: heavy aircraft behind heavy aircraft,4.0Nm,5.0nm,6.0NM,,A,,LTC_LTCS
Distance based wake turbulence seperation minima between aircraft provided with an ATS surveillance in circumstance: medium aircraft behind heavy aircraft,4.0NM,6.0nm,5NM,,C,,LTC_LTCS
"A medium aircraft taking off behind a heavy aircraft, the time separation minima shall be:",1 min,2 minutes.,3 minutes,5 minutes,B,,LTC_LTCS
"A light military training  aircraft taking off behind a heavy commercial aircraft, the time separation minima shall be:",1 min.,2 minutes,3 minutes.,5 minutes.,B,,LTC_LTCS
"A medium  military aircraft taking off behind a heavy  commercial aircraft, the time separation minima shall be:",1 min,2 mins.,3 mins,5 mins,B,,LTC_LTCS
"A medium aircraft approaching for landing behind a light aircraft, the time separation minima between them must be:",1 min.,2 minutes,3 minutes.,5 minutes.,B,,LTC_LTCS
"A heavy aircraft approaching for landing behind a medium military aircraft, the time separation minima between them must be:",1 min.,2 minutes,3 minutes.,5 minutes.,B,,LTC_LTCS
Which following departure sequence is correct?,Commercial flight-Military training flight-Military mission flight,Military mission flight-Commercial flight-Military training flight-,Commercial flight-Military training flight-Military hospital flight,,B,,LTC_LTCS
"When the aircraft executing VOR Y Rwy20L approach procedure, IAF 1 is..",D23/RDL 227 CRA,CRA.,D21.5/RDL 254 CRA,Everywhere,B,,LTC_LTCS
"When the aircraft executing VORY Rwy20L approach procedure from the North of airspace, IAF 2 is..",D16.5/RDL 356 CRA.,D30/RDL 356 CRA,D23/RDL 227 CRA,D21.5/RDL 254 CRA,A,,LTC_LTCS
"A light aircraft approaching for landing behind a heavy aircraft, the time separation minima between them must be:",1 min,2 minutes,3 mins,5 minutes,C,,LTC_LTCS
Which following arrival sequence is correct?,Hospital flight - Shortage of fuel flight - Commercial flight,Emergency flight - Hospital flight – Commercial flight,Shortage of fuel flight - Commercial flight - Hospital flight,,B,,LTC_LTCS
How's the weather of Cam Ranh ?,Dry season,Rainy season,Dry season and Rainy season,,C,,LTC_LTCS
Dry season usually starts from____ to ____,Jan - Aug,January - June,February - August,February - June,A,,LTC_LTCS
Rainy season usually starts from ____to _____,June – September,Sep – Dec,September – November,June – December,B,,LTC_LTCS
What type of cloud in the Dry season ?,Ac,Ci,Cs,All of above,D,,LTC_LTCS
What type of cloud in the Rainy season ?,"Cu, Cb, Sc","Cu, CUcon, Sc","CU, CUCON, CB, SC","Cu, CUcon, Cb",C,,LTC_LTCS
Prevailing wind direction during the Dry season from May to August:,The North East,The North,"The North, North East,  South East",South East.,D,,LTC_LTCS
Prevailing wind direction during the Rainy season from September to December,The North East.,The North,"The North, North East,  South East.",South East.,B,,LTC_LTCS
Who is providing the work to ensure the meteorology at Cam Ranh airport ?,Cam Ranh tower,Cam Ranh airport Meteorological Department,Da Nang tower,,B,,LTC_LTCS
Cam Ranh airport Meteorological Department operates at,daytime,on request,24/24,,C,,LTC_LTCS
What types of wind at Cam Ranh Airport?,Ground wind,Sea wind,All of above,,C,,LTC_LTCS
The weather operation minima (visibility) for aircraft take off RWY 02L/R - 20L/R  at Cam Ranh airport:,800m,1500m,3000m,6000m,A,,LTC_LTCS
"The weather operation minima (ceiling/ visibility) for cat C aircraft using  ILS Z,Y,X approach procedure RWY 02L  at Cam Ranh airport:",105m/ 1600m,105m/1000m,105m/1100m,105m/1200m,A,,LTC_LTCS
The weather operation minima (ceiling/ visibility) for cat C aircraft using  ILS Y approach procedure RWY 02R  at Cam Ranh airport:,115m/2000m,115m/ 1800m,115m/1100m,115m/1200m,B,,LTC_LTCS
The weather operation minima (ceiling/ visibility) for cat C aircraft using  ILS Z approach procedure RWY 20L  at Cam Ranh airport:,120m/ 1800m,120m/1900m,120m/2000m,120m/1500m,A,,LTC_LTCS
METAR updates______1 times,30 minutes,10 minutes,90 minutes,60 minutes,A,,LTC_LTCS
The weather operation minima (ceiling/ visibility) for cat C aircraft using  VOR approach procedure RWY 02L  at Cam Ranh airport:,400M/4500M,400m/5000m,500m/4000m,500m/5000m,A,,LTC_LTCS
"The weather operation minima (ceiling/ visibility) for cat C aircraft using  VOR Z,Y,X approach procedure RWY 20R  at Cam Ranh airport:",200M/2000M,300M/3500M,300M/4000M,200m/3400m,D,,LTC_LTCS
"The weather operation minima (ceiling/ visibility) for cat D aircraft using  RNP Z,Y approach procedure RWY 20R  at Cam Ranh airport:",200m/2000M,300M/3500m,300m/4000M,185m/4000m,D,,LTC_LTCS
Acronym of RVR?,Runway visibility Range,Runway Visual Range,Runway virtual Range,Runway variety Range,B,,LTC_LTCS
What's QFE?,Altimeter sub-scale setting to obtain elevation when on the ground,Atmospheric pressure at 1013.2mb,Atmospheric pressure at Aerodrome elevation or at runway threshold,,C,,LTC_LTCS
"what's ""CAVOK"" term?",visibility >= 10km and no minumum visibility report; no significant cloud; No significant weather at or in the vicinity of the aerodrome.,visibility >= 8km and no minumum visibility report; no significant cloud; No significant weather at or in the vicinity of the aerodrome,visibility > 10km and no minumum visibility report; no significant cloud; No significant weather at or in the vicinity of the aerodrome,visibility <= 10km and no minumum visibility report; no significant cloud; No significant weather at or in the vicinity of the aerodrome,A,,LTC_LTCS
"The weather operation minima (ceiling/ visibility) for cat C aircraft using  RNP Z,Y approach procedure RWY 02L  at Cam Ranh airport:",180m/3400m.,200M/2000m,300m/3500M,300M/4000m,A,,LTC_LTCS
"The weather operation minima (ceiling/ visibility/RVR) for cat C,D aircraft using  ILS Y,X approach procedure RWY 20L  at Cam Ranh airport:",110m/1800m/1300m,120M/1800m/1300m,110M/1800m/1400m,110M/1900m/1300m,A,,LTC_LTCS
Alerting service shall be provided by:,The ATS unit responsible for the aircraft.,"The ATS unit responsible for the aircraft, when provided by frequency 121.5",The Area control centre,Only by ATC units,A,,LTC_LTCS
"When providing Alerting Service, a phrase wherein there is reasonable certainty that an aircraft and its occupants are threatened by grave and imminent danger or require immediate assistance is called:",Alert phase,Emergency phase,Distress Phase.,Warning phase,C,,LTC_LTCS
When providing alerting service an aircraft known or believed to be the subject of unlawful interference shall be considered in which state of emergency:,Alert Phase.,Uncertainty phase,Emergency phase,Unsafe phase,A,,LTC_LTCS
"When providing alerting service, the states of emergencies are divided into three phases. They are:","Unsafe phase, alert phase, distress phase","Unsafe phase, alert phase, emergency phase","Uncertainty Phase, Alert Phase, Distress Phase.","Uncertainty phase, alert phase, emergency phase",C,,LTC_LTCS
The sequence of emergency phases are:,"ALERFA, INCERFA, DETRESFA.","Incerfa, Alerfa, Detresfa","DETRESFA, ALERFA, INCERFA.",No difference,B,,LTC_LTCS
. …………shall be given priority over other listed below,VIP a/c,Military a/c,Hospital a/c,Emergency a/c,D,,LTC_LTCS
The pilot of an a/c experience two-way radio communication failure shall set his transponder to code:,A/3 7400.,A/3 7500.,A/3 7600.,A/3 7700.,C,,LTC_LTCS
A radiotelephony distress message transmitted by an a/c  should commence with  the word “….” preferable spoken three times.,SOS,MAYDAY,PANPAN,EMERGENCY,B,,LTC_LTCS
An aircraft has been cleared to land and fails to land within five minutes of the estimated time of landing and communication has not been re - established. The aircraft should be considered in:,Uncertainty phase,Alert Phase,Distress phase,Emergency phase,B,,LTC_LTCS
Emergency frequency at Cam Ranh airport is :,118.2,118.25,121.5,120.1,C,,LTC_LTCS
"In case the aircraft lost contact, TWR Cam Ranh shall :","Quickly check the receiver , the transmitter on the ground",open all means of prevention,"liberated rwy, suspended a/c dep",All of above,D,,LTC_LTCS
"What information shall the ATC unit coordinate with the flight crew when an aircraft operating within controlled airspace needs to dump fuel? The route to be flown (be clear of cities and towns, preferably over water and away from thunderstorm area),",The duration of fuel dumping and at lowest level of 8000ft if possible.,The duration of fuel dumping and at lowest level of 6000ft if possible,The duration of fuel dumping and at least 2000ft above the otherknown traffic.,The duration of fuel dumping and at lowest level of 9000ft if possible.,B,,LTC_LTCS
